Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
111,1.172e-52,0.131262,5000,1,14.9678,1,0,0.0693359,0.0693359
112,1.75077e-52,0.130678,5000,0.999023,15.0029,0.999023,0,0.0517578,0.0517578
113,2.44529e-52,0.129934,5000,1,15.0068,1,0,0.0576172,0.0576172
114,3.25556e-52,0.12909,5000,1,15.0264,1,0,0.0341797,0.0341797
115,4.18159e-52,0.128125,5000,1,15.0342,1,0,0.0537109,0.0537109
116,5.22336e-52,0.127039,5000,1,15.0508,1,0,0.0507812,0.0507812
117,6.38089e-52,0.125832,5000,1,15.0576,1,0,0.0507812,0.0507812
118,7.65418e-52,0.124505,5000,1,15.0664,1,0,0.0605469,0.0605469
119,9.04322e-52,0.123076,5000,0.999023,15.0654,0.999023,0,0.0595703,0.0595703
120,1.0548e-51,0.121508,5000,0.999023,15.0527,0.999023,0,0.0556641,0.0556641
121,1.21396e-51,0.119868,5000,0.998047,15.0254,0.998047,0,0.0527344,0.0527344
122,1.39048e-51,0.117989,5000,1,15.0107,1,0,0.0400391,0.0400391
123,1.48019e-51,0.117054,5000,1,15.0068,1,0,0.0507812,0.0507812
124,1.48164e-51,0.117039,5000,1,15.0039,1,0,0.0517578,0.0517578
125,1.47875e-51,0.117108,5000,0.998047,15.001,0.998047,0,0.0566406,0.0566406
126,1.48019e-51,0.117073,5000,0.999023,14.9971,0.999023,0,0.0390625,0.0390625
127,1.48164e-51,0.117039,5000,1,14.998,1,0,0.0458984,0.0458984
128,1.47875e-51,0.117088,5000,0.999023,14.9873,0.999023,0,0.0595703,0.0595703
129,1.48164e-51,0.117039,5000,1,14.9814,1,0,0.0410156,0.0410156
130,1.48164e-51,0.117039,5000,1,14.9912,1,0,0.0449219,0.0449219
131,1.48019e-51,0.117054,5000,1,14.9814,1,0,0.046875,0.046875
132,1.48019e-51,0.117054,5000,1,14.9834,1,0,0.046875,0.046875
133,1.48164e-51,0.117039,5000,1,14.9766,1,0,0.0439453,0.0439453
134,1.48164e-51,0.117039,5000,1,14.9727,1,0,0.0507812,0.0507812
135,1.48019e-51,0.117073,5000,0.999023,14.9697,0.999023,0,0.0527344,0.0527344
136,1.48164e-51,0.117039,5000,1,14.9648,1,0,0.0498047,0.0498047
137,1.48019e-51,0.117073,5000,0.999023,14.9648,0.999023,0,0.0576172,0.0576172
138,1.48164e-51,0.117039,5000,1,14.9668,1,0,0.0458984,0.0458984
139,1.48164e-51,0.117039,5000,1,14.9639,1,0,0.0507812,0.0507812
140,1.48164e-51,0.117039,5000,1,14.9541,1,0,0.0517578,0.0517578
141,1.48164e-51,0.117039,5000,1,14.9463,1,0,0.0673828,0.0673828
142,1.48164e-51,0.117039,5000,1,14.9482,1,0,0.0527344,0.0527344
143,1.48164e-51,0.117039,5000,1,14.9434,1,0,0.0380859,0.0380859
144,1.48019e-51,0.117073,5000,0.999023,14.9434,0.999023,0,0.0488281,0.0488281
145,1.48164e-51,0.117039,5000,1,14.9473,1,0,0.0410156,0.0410156
146,1.48019e-51,0.117073,5000,0.999023,14.9463,0.999023,0,0.0585938,0.0585938
147,1.48164e-51,0.117039,5000,1,14.9473,1,0,0.0458984,0.0458984
148,1.48164e-51,0.117039,5000,1,14.9326,1,0,0.0537109,0.0537109
149,1.48019e-51,0.117073,5000,0.999023,14.9238,0.999023,0,0.0517578,0.0517578
150,1.48164e-51,0.117039,5000,1,14.917,1,0,0.0478516,0.0478516
151,1.48164e-51,0.117039,5000,1,14.9092,1,0,0.0429688,0.0429688
152,1.48019e-51,0.117073,5000,0.999023,14.9023,0.999023,0,0.0498047,0.0498047
153,1.48019e-51,0.117054,5000,1,14.8916,1,0,0.0429688,0.0429688
154,1.47875e-51,0.117108,5000,0.998047,14.9023,0.998047,0,0.046875,0.046875
155,1.48075e-51,0.11704,5000,1,14.8965,1,0,0.0507812,0.0507812
156,1.48164e-51,0.117039,5000,1,14.8916,1,0,0.0498047,0.0498047
157,1.48164e-51,0.117039,5000,1,14.8828,1,0,0.0556641,0.0556641
158,1.48019e-51,0.117054,5000,1,14.8857,1,0,0.0556641,0.0556641
159,1.48164e-51,0.117039,5000,1,14.8838,1,0,0.0507812,0.0507812
160,1.48164e-51,0.117039,5000,1,14.8789,1,0,0.0429688,0.0429688
161,1.48019e-51,0.117054,5000,1,14.877,1,0,0.0498047,0.0498047
162,1.48164e-51,0.117039,5000,1,14.8545,1,0,0.0546875,0.0546875
163,1.48164e-51,0.117039,5000,1,14.8516,1,0,0.0498047,0.0498047
164,1.48164e-51,0.117039,5000,1,14.8555,1,0,0.0488281,0.0488281
165,1.48164e-51,0.117039,5000,1,14.8691,1,0,0.046875,0.046875
166,1.47985e-51,0.117041,5000,1,14.8691,1,0,0.0488281,0.0488281
167,1.48075e-51,0.11704,5000,1,14.8682,1,0,0.0537109,0.0537109
168,1.48075e-51,0.11704,5000,1,14.8516,1,0,0.0566406,0.0566406
169,1.48019e-51,0.117073,5000,0.999023,14.8457,0.999023,0,0.0527344,0.0527344
170,1.47875e-51,0.117088,5000,1,14.8408,0.999023,0.000976562,0.0449219,0.0449219
171,1.48019e-51,0.117073,5000,0.999023,14.834,0.999023,0,0.0478516,0.0478516
172,1.48164e-51,0.117039,5000,1,14.8701,1,0,0.0371094,0.0371094
173,1.48164e-51,0.117039,5000,1,14.8779,1,0,0.0673828,0.0673828
174,1.48019e-51,0.117061,5000,1,14.8975,1,0,0.0390625,0.0390625
175,1.48164e-51,0.117039,5000,1,14.918,1,0,0.0488281,0.0488281
176,1.48019e-51,0.117054,5000,1,14.9121,1,0,0.0507812,0.0507812
177,1.4793e-51,0.117074,5000,1,14.9209,1,0.000976562,0.0478516,0.0478516
178,1.48019e-51,0.117073,5000,0.999023,14.9297,0.999023,0,0.0498047,0.0498047
179,1.48164e-51,0.117039,5000,1,14.9443,1,0,0.0458984,0.0458984
180,1.48164e-51,0.117039,5000,1,14.9199,1,0,0.0556641,0.0556641
181,1.4793e-51,0.117074,5000,0.999023,14.9082,0.999023,0,0.0507812,0.0507812
182,1.47641e-51,0.117104,5000,0.999023,14.915,0.999023,0,0.0458984,0.0458984
183,1.4793e-51,0.117055,5000,1,14.9297,1,0,0.0576172,0.0576172
184,1.4784e-51,0.117075,5000,1,14.9258,0.999023,0.000976562,0.0527344,0.0527344
185,1.4793e-51,0.117055,5000,1,14.9443,1,0,0.0576172,0.0576172
186,1.48075e-51,0.11704,5000,1,14.96,1,0,0.0429688,0.0429688
187,1.48164e-51,0.117039,5000,1,14.9629,1,0,0.0488281,0.0488281
188,1.48164e-51,0.117039,5000,1,14.9297,1,0,0.0537109,0.0537109
189,1.48019e-51,0.117054,5000,1,14.9307,1,0,0.0449219,0.0449219
190,1.48164e-51,0.117039,5000,1,14.9453,1,0,0.0498047,0.0498047
191,1.48164e-51,0.117039,5000,1,14.9658,1,0,0.0517578,0.0517578
192,1.48164e-51,0.117039,5000,1,14.958,1,0,0.0478516,0.0478516
193,1.48164e-51,0.117039,5000,1,14.9375,1,0,0.0449219,0.0449219
194,1.4773e-51,0.117103,5000,0.999023,14.9414,0.999023,0,0.0595703,0.0595703
195,1.48164e-51,0.117039,5000,1,14.9375,1,0,0.0498047,0.0498047
196,1.48164e-51,0.117039,5000,1,14.9355,1,0,0.0488281,0.0488281
197,1.48164e-51,0.117039,5000,1,14.9111,1,0,0.03125,0.03125
198,1.48164e-51,0.117039,5000,1,14.8994,1,0,0.0527344,0.0527344
199,1.48019e-51,0.117073,5000,0.999023,14.8916,0.999023,0,0.0449219,0.0449219
200,1.47875e-51,0.117108,5000,0.998047,14.9092,0.998047,0,0.0654297,0.0654297
201,1.48164e-51,0.117039,5000,1,14.9189,1,0,0.0517578,0.0517578
202,1.48019e-51,0.117073,5000,0.999023,14.916,0.999023,0,0.0585938,0.0585938
203,1.48164e-51,0.117039,5000,1,14.9229,1,0,0.0517578,0.0517578
